"","Date","Open.","High","Low","Close","Volume","Market.Cap","coin","Open","Close","Delta"
"1",2018-08-14,"6287.66",6287.94,5971.05,"6199.71","5,301,700,000","108,199,097,492","BTC",6287.66,6199.71,-0.0139877156207555
"2",2018-08-13,"6341.36",6537.05,6225.72,"6297.57","4,083,980,000","109,111,523,954","BTC",6341.36,6297.57,-0.00690545876594295
"3",2018-08-12,"6283.65",6409.85,6237.5,"6322.69","5,665,250,000","108,106,451,582","BTC",6283.65,6322.69,0.00621294947999968
"4",2018-08-11,"6185.79",6455.74,6109.03,"6295.73","4,047,850,000","106,409,456,302","BTC",6185.79,6295.73,0.0177729926169494
"5",2018-08-10,"6571.42",6591.26,6124.52,"6184.71","4,528,680,000","113,028,788,092","BTC",6571.42,6184.71,-0.058847250670327
"6",2018-08-09,"6305.56",6625.73,6249.07,"6568.23","4,267,040,000","108,444,366,975","BTC",6305.56,6568.23,0.0416568869378769
"7",2018-08-08,"6746.85",6746.85,6226.22,"6305.8","5,064,430,000","116,020,470,612","BTC",6746.85,6305.8,-0.0653712473228247
"8",2018-08-07,"6958.32",7146.56,6748.24,"6753.12","4,682,800,000","119,643,646,094","BTC",6958.32,6753.12,-0.0294898768668299
"9",2018-08-06,"7062.94",7166.55,6890.54,"6951.8","3,925,900,000","121,430,864,537","BTC",7062.94,6951.8,-0.0157356568227961
"10",2018-08-05,"7031.08",7102.77,6940.7,"7068.48","3,679,110,000","120,869,247,490","BTC",7031.08,7068.48,0.00531923971850692
"11",2018-08-04,"7438.67",7497.49,6984.07,"7032.85","4,268,390,000","127,859,350,021","BTC",7438.67,7032.85,-0.0545554514449491
"12",2018-08-03,"7562.14",7562.14,7328.65,"7434.39","4,627,150,000","129,965,898,111","BTC",7562.14,7434.39,-0.0168933661635463
"13",2018-08-02,"7634.19",7712.77,7523.44,"7567.15","4,214,110,000","131,189,721,712","BTC",7634.19,7567.15,-0.00878154722373952
"14",2018-08-01,"7769.04",7769.04,7504.95,"7624.91","4,797,620,000","133,492,645,169","BTC",7769.04,7624.91,-0.0185518416689836
"15",2018-07-31,"8181.2",8181.53,7696.93,"7780.44","5,287,530,000","140,559,547,538","BTC",8181.2,7780.44,-0.0489854789028505
"16",2018-07-30,"8221.58",8235.5,7917.5,"8180.48","5,551,400,000","141,239,444,979","BTC",8221.58,8180.48,-0.00499903911413626
"17",2018-07-29,"8205.82",8272.26,8141.18,"8218.46","4,107,190,016","140,951,371,776","BTC",8205.82,8218.46,0.00154037012754355
"18",2018-07-28,"8169.06",8222.85,8110.77,"8192.15","3,988,750,080","140,305,137,664","BTC",8169.06,8192.15,0.0028265185957747
"19",2018-07-27,"7950.4",8262.66,7839.76,"8165.01","5,195,879,936","136,532,811,776","BTC",7950.4,8165.01,0.0269936103843832
"20",2018-07-26,"8176.85",8290.33,7878.71,"7951.58","4,899,089,920","140,404,998,144","BTC",8176.85,7951.58,-0.0275497288075482
"21",2018-07-25,"8379.66",8416.87,8086.36,"8181.39","5,845,400,064","143,869,018,112","BTC",8379.66,8181.39,-0.0236608645219495
"22",2018-07-24,"7716.51",8424.27,7705.5,"8424.27","7,277,689,856","132,468,064,256","BTC",7716.51,8424.27,0.0917202206697069
"23",2018-07-23,"7414.71",7771.5,7409.1,"7711.11","5,132,480,000","127,271,731,200","BTC",7414.71,7711.11,0.0399745910494139
"24",2018-07-22,"7417.8",7537.95,7383.82,"7418.49","3,695,460,096","127,307,890,688","BTC",7417.8,7418.49,0.0000930194936503545
"25",2018-07-21,"7352.72",7437.64,7262.41,"7419.29","3,726,609,920","126,178,377,728","BTC",7352.72,7419.29,0.00905379233807349
